MESZ,240,800,130,20
11-52-0,220,1040,0,0
AMS,420,0,480,0
90% Sulfur,0,0,1800,0
Zinc,0,0,0,660
Urea,920,0,0,0
10-34-0,200,680,0,0
Thio,240,520,0,0
Zinc,0,0,0,300
32.00%,640,0,0,0
